"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 14 04:03:19 GMT 2025","Wed May 14 04:03:21 GMT 2025","1997","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed May 14 04:03:31 GMT 2025","Wed May 14 04:03:32 GMT 2025","1649","LMS System","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed May 14 04:03:22 GMT 2025","Wed May 14 04:03:24 GMT 2025","1528","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed May 14 04:03:30 GMT 2025","Wed May 14 04:03:33 GMT 2025","2730","LMS System","Courses","Courses","","","Create course",""
"passed","Wed May 14 04:03:24 GMT 2025","Wed May 14 04:03:26 GMT 2025","1724","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed May 14 04:03:27 GMT 2025","Wed May 14 04:03:28 GMT 2025","1562","LMS System","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed May 14 04:03:34 GMT 2025","Wed May 14 04:03:37 GMT 2025","3452","LMS System","Courses","Courses","","","Edit course",""
"passed","Wed May 14 04:03:19 GMT 2025","Wed May 14 04:03:26 GMT 2025","6883","LMS System","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed May 14 04:03:26 GMT 2025","Wed May 14 04:03:28 GMT 2025","1976","LMS System","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed May 14 04:03:33 GMT 2025","Wed May 14 04:03:35 GMT 2025","2164","LMS System","Dashboard","Dashboard","","","Check displaying of dashboard page",""
